songID	songName	artistName	albumID	albumName	recordLabelName	duration	bpm	dateAdded	lastPlayed	popularity	requests	credit_by	plays	genres	credit_original	credit_remix	credit_mixed	credit_vocals
100	Close Cover (Original Mix)	Minimalistix	300	Close Cover	Ministry of Sound	7:40	121	Jun 26, 2002	Apr 19, 2003, 9:08:09 PM	1	213							
101	Will & Penny	Apollo Four Forty	107	Lost In Space (Soundtrack)		3:22	155	Nov 04, 2000	Mar 16, 2003, 6:57:53 PM	1	418	Apollo Four Forty						
102	Lost In Love	Legend B				8:24		Nov 04, 2000	Jan 12, 2002, 9:41:21 AM	1	89	Legend B	96					
103	Angelic Indulge	Jon Laprebote				7:19		Nov 04, 2000	Jan 26, 2002, 4:21:10 AM	1	69	Jon Laprebote						
104	The Day After	Rom and Comix				5:38	139	Nov 04, 2000	Apr 26, 2003, 7:02:09 PM	2	347							
106	All I Really Want	Kim Lukas								2		Kim Lukas						
107	Texas Cowboys (Riccochet Mix)	The Grid								1								
109	This Way is Right	Hk Project								1								
110	Athina 2004	303 Infinity				3:29	139	Nov 04, 2000	Nov 15, 2002, 9:09:33 PM	1	94	303 Infinity	104					
111	Ethereal Mist	303 Infinity	233	Dreamworld	Max Music (RYKO)	3:36		Nov 04, 2000	Apr 25, 2003, 10:35:51 AM	1	420	303 Infinity						
112	Little Fluffy Clouds	The Orb								3								
113	FLooRi.D.A. (Rabbit In The Moon's Handled Without Care Mix)	Rabbit in the Moon	307	Floor I.D.A.	Hallucination	8:27	129	Nov 04, 2000	Apr 17, 2003, 12:07:54 PM	2	507			Trance				
114	Wake Up	The Grid								1								
115	God is God	Juno Reactor	105	Bible of Dreams		6:47	159	Nov 04, 2000	Jun 12, 2003, 2:49:24 AM	2	817	Juno Reactor						
116	Light Years	Rive				3:44		Nov 04, 2000	Jan 14, 2002, 8:03:16 PM	1	75	Rive	87					
117	Dreaming (Percussion Mix)	Ruff Drivers				5:25	139	Nov 04, 2000	Apr 28, 2003, 4:18:59 AM	1	132	Ruff Drivers	145					
118	Audio Fantasy	303 Infinity	233	Dreamworld	Max Music (RYKO)	4:48	157	Nov 04, 2000	Jun 27, 2003, 9:08:13 PM	1	137							
119	Stars	Absolom				5:40	128	Nov 04, 2000	Jul 2, 2003, 11:51:39 PM	1	116	Absolom						
120	Silence	Solar Eclipse								1								
121	Non-Normality	teknosys				6:10	133	Nov 04, 2000	May 27, 2003, 7:51:38 AM	1	346		258					
122	Eclipse	303 Infinity				5:43	136	Nov 04, 2000	Jan 6, 2003, 12:31:49 PM	1	92	303 Infinity						
123	Xpander	Sasha				6:44		Nov 04, 2000	Jan 21, 2002, 11:25:34 PM	3	595	Sasha	271					
124	Soma Holiday	G.O.L.	106	One A.D.		6:45	129	Nov 04, 2000	Jun 20, 2003, 9:50:20 PM	2	478							
125	Trancemitter	303 Infinity				5:51	143	Nov 04, 2000	Nov 19, 2002, 9:20:05 PM	1	101	303 Infinity						
126	Mortal Kombat	Techno Syndrome								2								
127	Out of Body Experience	Rabbit in the Moon	139	Urbal Beats		6:43	135	Nov 04, 2000	May 10, 2003, 9:49:39 PM	2	883							
128	Unspoken Words	Frank E And Mars L								1								
130	Dreaming (Tiesto Mix)	BT	234	Dreaming	ZYX Music	7:21	135	Nov 04, 2000	May 9, 2003, 4:57:34 AM	2	1059				BT	DJ Tiesto		
131	Key of V	teknosys				5:30	133	Nov 04, 2000	May 24, 2003, 1:54:58 AM	1	286							
132	Blue Skies	BT	122	Ima	Warner Brothers	5:03	127	Nov 04, 2000	May 9, 2003, 9:04:34 AM	4	2599	BT						
133	Check Out Your Mind	PMG				4:45		Nov 04, 2000	Jan 29, 2002, 3:59:41 PM	1	108	PMG						
134	Africa (Dark Moon Mix)	Cape 4	278	Africa	Go For It	6:30		Nov 04, 2000	May 10, 2003, 2:23:40 AM	1	288			Trance				
135	Free Your Mind	303 Infinity				6:06	138	Nov 04, 2000	Dec 30, 2002, 4:25:56 AM	1	98	303 Infinity						
136	Red Snapper	K90				7:52		Nov 04, 2000	Jan 17, 2002, 12:24:50 AM	1	61		71					
137	High Adventure	Sunbeam								1								
138	Swamp Thing (Southern Comfort Mix)	The Grid								3								
139	Zhirius	Cosmic Dawn				7:30	140	Nov 04, 2000	May 18, 2003, 2:23:20 AM	1	202		208					
140	Diablo	The Grid								2								
141	Believer	BT				5:10	121	Nov 04, 2000	May 7, 2003, 9:13:40 AM	1	349	BT						
142	Dreamscape	Rive				3:48		Nov 04, 2000	Jan 28, 2002, 10:47:41 PM	1	62	Rive	80					
143	Human Being	Interstate				5:48	158	Nov 04, 2000	May 22, 2003, 3:35:25 PM	1	101		124					
145	Analogue Relaxation	Antiloop				6:06		Nov 06, 2000	Jul 7, 2003, 1:22:45 AM	1	292	Antiloop						
146	In My Mind	Antiloop				3:31	125	Nov 06, 2000	Mar 21, 2003, 6:40:37 AM	2	434	Antiloop						
147	Purpose In Life	Antiloop				6:01	140	Nov 06, 2000	Jul 14, 2003, 10:25:38 PM	2	544	Antiloop						
148	For Shuisheng	Midori				3:43		Nov 06, 2000	Jan 30, 2002, 3:41:15 PM	1	103	Midori						
149	Free	Micro				8:24		Nov 06, 2000	Jan 8, 2002, 9:36:51 AM	1	69	Micro	69					
150	Godspeed	BT	276	Digital Empire 2: The Aftermath	Cold Front	5:32	139	Nov 06, 2000	Jun 26, 2003, 2:58:18 AM	2	554	BT						
151	Legend	Deep Sky				8:00		Nov 06, 2000	Jul 19, 2002, 3:34:27 AM	1	78	Deep Sky						
152	Toxygene	The Orb	104	Orblivion		5:17	127	Nov 06, 2000	May 25, 2003, 6:01:44 AM	3	1880		673					
153	Unlearn (Instrumental)	Psykosonik								1								
154	Matrix II	The Cynic Project								3								
155	Jedi Master	Torley Wong				3:38		Nov 06, 2000	Jan 10, 2002, 11:45:28 PM	3	783	Torley Wong	300					
157	For An Angel	Paul Van Dyk	118	45 RPM		3:53	138	Nov 07, 2000	May 18, 2003, 3:23:39 AM	2	725		385					
158	Avenue	Paul Van Dyk	110	Out There And Back	Mute Records	7:39	127	Nov 08, 2000	May 18, 2003, 10:00:11 PM	1	154	Paul Van Dyk		Trance				
159	Face to Face (Piano Mix)	Paul Van Dyk	110	Out There And Back		6:13		Nov 08, 2000	Jan 6, 2002, 8:01:09 PM	1	184	Paul Van Dyk	147					
160	Tell Me Why (The Riddle)	Paul Van Dyk	110	Out There And Back		5:53		Nov 08, 2000	Jul 21, 2002, 3:10:44 PM	2	585	Paul Van Dyk						
161	Tell Me Why (Vandit Mix)	Paul Van Dyk	110	Out There And Back		9:20		Nov 08, 2000	Jul 17, 2002, 3:14:20 PM	1	205	Paul Van Dyk						
162	Anthem	Moby	108	Moby Songs		3:27		Nov 08, 2000	Jan 9, 2002, 7:35:59 AM	1	181		126					
164	First Cool Hive	Moby	108	Moby Songs		5:16		Nov 08, 2000	Jan 10, 2002, 5:58:16 PM	1	159		126					
171	Beautiful Place	Paul Van Dyk	115	Seven Ways		7:01		Nov 09, 2000	Jul 15, 2002, 1:23:48 AM	1	146	Paul Van Dyk						
